f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89
0.010948,0.022689,0.829450,0.147079,0.020161,0.768874,0.124361,-0.009404,0.719054,0.209297,-0.121018,0.461351,0.209297,-0.121018,0.461351,0.252195,-0.061060,0.057017,0.252195,-0.061060,0.057017,-0.137258,0.021344,0.813935,-0.130794,0.022758,0.752061,-0.100784,0.029420,0.460277,-0.100784,0.029420,0.460277,-0.050517,0.086138,0.056325,-0.050517,0.086138,0.056325,0.076712,0.043788,1.243868,0.249071,0.029342,1.217252,0.249071,0.029342,1.217252,0.240619,0.017722,0.987701,0.240619,0.017722,0.987701,0.190584,-0.068923,0.847797,0.190584,-0.068923,0.847797,0.181862,-0.100995,0.800265,-0.095649,0.058234,1.270485,-0.095649,0.058234,1.270485,-0.163910,0.071050,1.051222,-0.163910,0.071050,1.051222,-0.189658,-0.000018,0.896721,-0.189658,-0.000018,0.896721,-0.200947,-0.024679,0.845454,0.110863,0.054745,1.459081,0.110863,0.054745,1.459081
0.010866,0.022743,0.829429,0.146989,0.020176,0.768837,0.124259,-0.009394,0.719025,0.209261,-0.121038,0.461356,0.209261,-0.121038,0.461356,0.252249,-0.061005,0.057043,0.252249,-0.061005,0.057043,-0.137342,0.021424,0.813932,-0.130885,0.022832,0.752057,-0.100798,0.029467,0.460280,-0.100798,0.029467,0.460280,-0.050421,0.086144,0.056336,-0.050421,0.086144,0.056336,0.076684,0.043906,1.243835,0.249028,0.029306,1.217208,0.249028,0.029306,1.217208,0.240422,0.017541,0.987670,0.240422,0.017541,0.987670,0.190261,-0.069017,0.847758,0.190261,-0.069017,0.847758,0.181480,-0.101062,0.800218,-0.095662,0.058507,1.270463,-0.095662,0.058507,1.270463,-0.163989,0.071344,1.051222,-0.163989,0.071344,1.051222,-0.189864,0.000199,0.896778,-0.189864,0.000199,0.896778,-0.201141,-0.024470,0.845511,0.110864,0.054897,1.459042,0.110864,0.054897,1.459042
0.010755,0.022792,0.829402,0.146869,0.020185,0.768790,0.124125,-0.009389,0.718987,0.209190,-0.121060,0.461351,0.209190,-0.121060,0.461351,0.252253,-0.060949,0.057058,0.252253,-0.060949,0.057058,-0.137455,0.021502,0.813928,-0.131008,0.022904,0.752051,-0.100860,0.029512,0.460280,-0.100860,0.029512,0.460280,-0.050397,0.086144,0.056340,-0.050397,0.086144,0.056340,0.076640,0.044017,1.243794,0.248965,0.029219,1.217154,0.248965,0.029219,1.217154,0.240292,0.017357,0.987624,0.240292,0.017357,0.987624,0.190007,-0.069108,0.847698,0.190007,-0.069108,0.847698,0.181162,-0.101125,0.800151,-0.095687,0.058815,1.270435,-0.095687,0.058815,1.270435,-0.164038,0.071689,1.051203,-0.164038,0.071689,1.051203,-0.190039,0.000465,0.896817,-0.190039,0.000465,0.896817,-0.201321,-0.024217,0.845558,0.110854,0.055040,1.458994,0.110854,0.055040,1.458994
0.010615,0.022870,0.829359,0.146722,0.020193,0.768735,0.123962,-0.009383,0.718941,0.209092,-0.121106,0.461349,0.209092,-0.121106,0.461349,0.252253,-0.060937,0.057074,0.252253,-0.060937,0.057074,-0.137597,0.021637,0.813899,-0.131155,0.023027,0.752022,-0.100942,0.029582,0.460256,-0.100942,0.029582,0.460256,-0.050377,0.086131,0.056317,-0.050377,0.086131,0.056317,0.076547,0.044160,1.243740,0.248850,0.029106,1.217099,0.248850,0.029106,1.217099,0.240158,0.017127,0.987575,0.240158,0.017127,0.987575,0.189725,-0.069212,0.847626,0.189725,-0.069212,0.847626,0.180798,-0.101197,0.800073,-0.095757,0.059215,1.270382,-0.095757,0.059215,1.270382,-0.164088,0.072204,1.051151,-0.164088,0.072204,1.051151,-0.190243,0.000902,0.896827,-0.190243,0.000902,0.896827,-0.201569,-0.023798,0.845586,0.110786,0.055217,1.458934,0.110786,0.055217,1.458934
0.010514,0.022933,0.829338,0.146613,0.020208,0.768698,0.123838,-0.009369,0.718911,0.209012,-0.121122,0.461347,0.209012,-0.121122,0.461347,0.252271,-0.060908,0.057089,0.252271,-0.060908,0.057089,-0.137701,0.021730,0.813897,-0.131266,0.023113,0.752019,-0.100984,0.029634,0.460260,-0.100984,0.029634,0.460260,-0.050328,0.086128,0.056325,-0.050328,0.086128,0.056325,0.076504,0.044322,1.243706,0.248791,0.029102,1.217054,0.248791,0.029102,1.217054,0.240132,0.016967,0.987538,0.240132,0.016967,0.987538,0.189609,-0.069266,0.847554,0.189609,-0.069266,0.847554,0.180606,-0.101222,0.799997,-0.095785,0.059542,1.270358,-0.095785,0.059542,1.270358,-0.164077,0.072720,1.051126,-0.164077,0.072720,1.051126,-0.190375,0.001313,0.896875,-0.190375,0.001313,0.896875,-0.201751,-0.023416,0.845659,0.110772,0.055430,1.458892,0.110772,0.055430,1.458892
0.010430,0.022969,0.829322,0.146522,0.020205,0.768667,0.123734,-0.009370,0.718886,0.208937,-0.121140,0.461338,0.208937,-0.121140,0.461338,0.252292,-0.060887,0.057097,0.252292,-0.060887,0.057097,-0.137787,0.021786,0.813898,-0.131358,0.023163,0.752019,-0.101014,0.029656,0.460266,-0.101014,0.029656,0.460266,-0.050274,0.086118,0.056337,-0.050274,0.086118,0.056337,0.076469,0.044470,1.243676,0.248739,0.029074,1.217019,0.248739,0.029074,1.217019,0.240162,0.016808,0.987506,0.240162,0.016808,0.987506,0.189588,-0.069328,0.847482,0.189588,-0.069328,0.847482,0.180524,-0.101261,0.799920,-0.095803,0.059867,1.270333,-0.095803,0.059867,1.270333,-0.164034,0.073225,1.051094,-0.164034,0.073225,1.051094,-0.190462,0.001713,0.896913,-0.190462,0.001713,0.896913,-0.201883,-0.023047,0.845722,0.110763,0.055636,1.458855,0.110763,0.055636,1.458855
0.010365,0.023007,0.829313,0.146456,0.020200,0.768660,0.123660,-0.009365,0.718877,0.208894,-0.121135,0.461340,0.208894,-0.121135,0.461340,0.252303,-0.060813,0.057114,0.252303,-0.060813,0.057114,-0.137852,0.021854,0.813887,-0.131423,0.023231,0.752008,-0.101060,0.029724,0.460257,-0.101060,0.029724,0.460257,-0.050284,0.086186,0.056333,-0.050284,0.086186,0.056333,0.076403,0.044568,1.243664,0.248660,0.028996,1.217020,0.248660,0.028996,1.217020,0.240195,0.016703,0.987505,0.240195,0.016703,0.987505,0.189568,-0.069355,0.847451,0.189568,-0.069355,0.847451,0.180454,-0.101265,0.799884,-0.095855,0.060140,1.270308,-0.095855,0.060140,1.270308,-0.164001,0.073672,1.051052,-0.164001,0.073672,1.051052,-0.190495,0.002116,0.896903,-0.190495,0.002116,0.896903,-0.201942,-0.022655,0.845723,0.110697,0.055765,1.458841,0.110697,0.055765,1.458841
0.010335,0.023041,0.829317,0.146427,0.020168,0.768670,0.123618,-0.009386,0.718886,0.208877,-0.121175,0.461365,0.208877,-0.121175,0.461365,0.252355,-0.060818,0.057152,0.252355,-0.060818,0.057152,-0.137882,0.021942,0.813887,-0.131450,0.023312,0.752008,-0.101056,0.029774,0.460259,-0.101056,0.029774,0.460259,-0.050230,0.086186,0.056334,-0.050230,0.086186,0.056334,0.076367,0.044675,1.243665,0.248608,0.028896,1.217040,0.248608,0.028896,1.217040,0.240224,0.016561,0.987524,0.240224,0.016561,0.987524,0.189531,-0.069414,0.847444,0.189531,-0.069414,0.847444,0.180367,-0.101304,0.799872,-0.095875,0.060455,1.270291,-0.095875,0.060455,1.270291,-0.163943,0.074164,1.051022,-0.163943,0.074164,1.051022,-0.190494,0.002593,0.896890,-0.190494,0.002593,0.896890,-0.201962,-0.022177,0.845715,0.110658,0.055910,1.458842,0.110658,0.055910,1.458842
0.010330,0.023065,0.829318,0.146420,0.020136,0.768668,0.123596,-0.009405,0.718883,0.208888,-0.121189,0.461370,0.208888,-0.121189,0.461370,0.252431,-0.060784,0.057172,0.252431,-0.060784,0.057172,-0.137888,0.022012,0.813892,-0.131457,0.023374,0.752013,-0.101019,0.029797,0.460268,-0.101019,0.029797,0.460268,-0.050140,0.086157,0.056343,-0.050140,0.086157,0.056343,0.076381,0.044760,1.243660,0.248607,0.028823,1.217040,0.248607,0.028823,1.217040,0.240307,0.016419,0.987524,0.240307,0.016419,0.987524,0.189570,-0.069485,0.847416,0.189570,-0.069485,0.847416,0.180357,-0.101363,0.799846,-0.095848,0.060698,1.270281,-0.095848,0.060698,1.270281,-0.163858,0.074550,1.051003,-0.163858,0.074550,1.051003,-0.190460,0.002987,0.896876,-0.190460,0.002987,0.896876,-0.201941,-0.021776,0.845700,0.110681,0.056027,1.458833,0.110681,0.056027,1.458833
0.010365,0.023111,0.829325,0.146452,0.020123,0.768671,0.123614,-0.009407,0.718885,0.208948,-0.121194,0.461388,0.208948,-0.121194,0.461388,0.252505,-0.060733,0.057200,0.252505,-0.060733,0.057200,-0.137853,0.022112,0.813904,-0.131424,0.023465,0.752025,-0.100967,0.029844,0.460281,-0.100967,0.029844,0.460281,-0.050067,0.086145,0.056349,-0.050067,0.086145,0.056349,0.076438,0.044826,1.243663,0.248653,0.028759,1.217042,0.248653,0.028759,1.217042,0.240405,0.016349,0.987525,0.240405,0.016349,0.987525,0.189619,-0.069483,0.847391,0.189619,-0.069483,0.847391,0.180351,-0.101340,0.799817,-0.095778,0.060893,1.270283,-0.095778,0.060893,1.270283,-0.163757,0.074852,1.051003,-0.163757,0.074852,1.051003,-0.190405,0.003317,0.896871,-0.190405,0.003317,0.896871,-0.201883,-0.021429,0.845686,0.110750,0.056103,1.458834,0.110750,0.056103,1.458834
