f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28
-0.447697,0.417102,0.080230,0.575701,-0.076006,-0.117302,0.072320,0.260194,-0.189835,0.117662,-0.189448,-0.124520,-0.078634,0.009335,0.120062,-0.437098,1.012097,0.163800,0.149140,-0.051545,0.094264,-0.152507,0.337075,1.071106,-0.001754,-0.048684,-0.123566,0.000000,0.000000
-0.447702,0.417533,0.080085,0.575991,-0.076180,-0.117227,0.072430,0.260575,-0.189735,0.117658,-0.189387,-0.124764,-0.079296,0.008919,0.119549,-0.437523,1.013075,0.164471,0.148907,-0.051510,0.094360,-0.152781,0.336601,1.070691,-0.001709,-0.047644,-0.123441,0.000000,0.000000
-0.447704,0.417988,0.080001,0.576291,-0.076389,-0.117145,0.072536,0.260928,-0.189605,0.117642,-0.189265,-0.124892,-0.080188,0.008760,0.119431,-0.438072,1.013738,0.164943,0.148572,-0.051321,0.094498,-0.152860,0.335985,1.070244,-0.001618,-0.046922,-0.123277,0.000000,0.000000
-0.447702,0.418478,0.080008,0.576608,-0.076656,-0.117051,0.072618,0.261238,-0.189435,0.117621,-0.189048,-0.124851,-0.081222,0.008590,0.119479,-0.439037,1.014465,0.165176,0.148108,-0.050919,0.094952,-0.152854,0.334843,1.069559,-0.001417,-0.046750,-0.123039,0.000000,0.000000
-0.447564,0.418871,0.079863,0.576796,-0.076915,-0.117033,0.072796,0.261594,-0.189187,0.117606,-0.188952,-0.125127,-0.081899,0.008277,0.119787,-0.440352,1.015335,0.164755,0.147398,-0.051088,0.095895,-0.152731,0.332846,1.068405,-0.000628,-0.046751,-0.122521,0.000000,0.000000
-0.447331,0.419180,0.079680,0.576901,-0.077164,-0.117008,0.073012,0.261920,-0.188946,0.117612,-0.188937,-0.125545,-0.082712,0.008134,0.120274,-0.441352,1.016067,0.164045,0.146709,-0.051530,0.096825,-0.152531,0.330934,1.067293,0.000311,-0.046765,-0.121950,0.000000,0.000000
-0.447093,0.419406,0.079795,0.577051,-0.077416,-0.116721,0.073212,0.261969,-0.188924,0.117621,-0.188920,-0.125651,-0.083466,0.008320,0.120753,-0.442076,1.016215,0.164216,0.146218,-0.051398,0.097608,-0.152327,0.329844,1.066490,0.000491,-0.046806,-0.121954,0.000000,0.000000
-0.446826,0.419656,0.079992,0.577173,-0.077674,-0.116534,0.073381,0.262032,-0.188734,0.117609,-0.188839,-0.125674,-0.084243,0.008481,0.121081,-0.442625,1.016477,0.163971,0.145809,-0.051306,0.098407,-0.152195,0.329237,1.065826,0.000331,-0.046797,-0.122008,0.000000,0.000000
-0.446540,0.419978,0.080215,0.577256,-0.077943,-0.116581,0.073481,0.262208,-0.188219,0.117607,-0.188691,-0.125673,-0.084795,0.008472,0.121491,-0.443306,1.016829,0.162762,0.145336,-0.051443,0.099064,-0.152053,0.328779,1.065410,-0.000025,-0.046710,-0.121985,0.000000,0.000000
-0.446397,0.420336,0.080652,0.577435,-0.078031,-0.116219,0.073480,0.262294,-0.187762,0.117608,-0.188519,-0.125739,-0.085143,0.008606,0.121763,-0.443769,1.017010,0.161908,0.144714,-0.051687,0.099486,-0.151986,0.328606,1.065229,-0.000100,-0.046333,-0.122098,0.000000,0.000000
-0.446274,0.420675,0.081200,0.577609,-0.078004,-0.115741,0.073448,0.262312,-0.187307,0.117607,-0.188334,-0.125828,-0.085382,0.008807,0.121898,-0.444043,1.017033,0.161446,0.144159,-0.051913,0.099674,-0.151975,0.328634,1.065233,-0.000119,-0.046358,-0.122154,0.000000,0.000000
