f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89
-0.003008,0.022512,0.852492,0.141240,0.029961,0.815824,0.125931,0.029527,0.755511,0.125676,0.031147,0.462117,0.125676,0.031147,0.462117,0.115943,0.093806,0.056038,0.115943,0.093806,0.056038,-0.146611,0.026421,0.812863,-0.130050,0.026733,0.752881,-0.127563,0.030140,0.459513,-0.127563,0.030140,0.459513,-0.106721,0.103113,0.055580,-0.106721,0.103113,0.055580,-0.006522,-0.039345,1.268033,0.167836,-0.054287,1.267283,0.167836,-0.054287,1.267283,0.202526,-0.023169,1.042053,0.202526,-0.023169,1.042053,0.183465,-0.077560,0.879997,0.183465,-0.077560,0.879997,0.180993,-0.098459,0.825949,-0.180882,-0.024403,1.268782,-0.180882,-0.024403,1.268782,-0.195270,0.027450,1.045166,-0.195270,0.027450,1.045166,-0.190903,-0.015874,0.878769,-0.190903,-0.015874,0.878769,-0.195944,-0.031763,0.823216,-0.008348,-0.071469,1.483828,-0.008348,-0.071469,1.483828
-0.003080,0.023080,0.852407,0.141199,0.029081,0.815597,0.125837,0.028551,0.755298,0.126424,0.029069,0.461900,0.126424,0.029069,0.461900,0.117195,0.094357,0.056224,0.117195,0.094357,0.056224,-0.146676,0.028500,0.812931,-0.130187,0.028345,0.752929,-0.127226,0.030364,0.459552,-0.127226,0.030364,0.459552,-0.105251,0.102952,0.055610,-0.105251,0.102952,0.055610,-0.006802,-0.039131,1.267893,0.167426,-0.055521,1.267000,0.167426,-0.055521,1.267000,0.202172,-0.024632,1.041748,0.202172,-0.024632,1.041748,0.182601,-0.078996,0.879743,0.182601,-0.078996,0.879743,0.179861,-0.099854,0.825693,-0.181031,-0.022741,1.268787,-0.181031,-0.022741,1.268787,-0.195203,0.028731,1.045069,-0.195203,0.028731,1.045069,-0.191269,-0.014942,0.878752,-0.191269,-0.014942,0.878752,-0.196545,-0.030905,0.823242,-0.008736,-0.071438,1.483661,-0.008736,-0.071438,1.483661
-0.003100,0.023787,0.852255,0.141190,0.028195,0.815265,0.125758,0.027494,0.754986,0.127279,0.026496,0.461592,0.127279,0.026496,0.461592,0.118485,0.095074,0.056449,0.118485,0.095074,0.056449,-0.146676,0.030887,0.812973,-0.130286,0.030222,0.752947,-0.126860,0.030718,0.459568,-0.126860,0.030718,0.459568,-0.103707,0.102800,0.055601,-0.103707,0.102800,0.055601,-0.006994,-0.038894,1.267669,0.167066,-0.056973,1.266573,0.167066,-0.056973,1.266573,0.201781,-0.026279,1.041289,0.201781,-0.026279,1.041289,0.181568,-0.080656,0.879368,0.181568,-0.080656,0.879368,0.178570,-0.101522,0.825334,-0.181055,-0.020816,1.268766,-0.181055,-0.020816,1.268766,-0.195133,0.030213,1.044940,-0.195133,0.030213,1.044940,-0.191792,-0.013920,0.878732,-0.191792,-0.013920,0.878732,-0.197311,-0.029987,0.823276,-0.009017,-0.071445,1.483399,-0.009017,-0.071445,1.483399
-0.002973,0.024600,0.852066,0.141299,0.027184,0.814833,0.125768,0.026196,0.754584,0.128374,0.023013,0.461213,0.128374,0.023013,0.461213,0.119915,0.095950,0.056825,0.119915,0.095950,0.056825,-0.146511,0.033645,0.813044,-0.130262,0.032405,0.752989,-0.126381,0.031171,0.459618,-0.126381,0.031171,0.459618,-0.101981,0.102547,0.055599,-0.101981,0.102547,0.055599,-0.006977,-0.038735,1.267379,0.166866,-0.058766,1.266001,0.166866,-0.058766,1.266001,0.201374,-0.028292,1.040655,0.201374,-0.028292,1.040655,0.180310,-0.082723,0.878860,0.180310,-0.082723,0.878860,0.177059,-0.103659,0.824869,-0.180823,-0.018705,1.268758,-0.180823,-0.018705,1.268758,-0.194966,0.031820,1.044822,-0.194966,0.031820,1.044822,-0.192461,-0.012923,0.878763,-0.192461,-0.012923,0.878763,-0.198248,-0.029134,0.823376,-0.009058,-0.071626,1.483057,-0.009058,-0.071626,1.483057
-0.002709,0.025373,0.851834,0.141492,0.026004,0.814242,0.125804,0.024643,0.754040,0.129627,0.018785,0.460725,0.129627,0.018785,0.460725,0.121410,0.097056,0.057330,0.121410,0.097056,0.057330,-0.146203,0.036492,0.813190,-0.130156,0.034714,0.753094,-0.125763,0.031928,0.459741,-0.125763,0.031928,0.459741,-0.100186,0.102116,0.055587,-0.100186,0.102116,0.055587,-0.006560,-0.038623,1.267048,0.167025,-0.060751,1.265247,0.167025,-0.060751,1.265247,0.201164,-0.030590,1.039804,0.201164,-0.030590,1.039804,0.179030,-0.084943,0.878125,0.179030,-0.084943,0.878125,0.175408,-0.105886,0.824160,-0.180147,-0.016494,1.268849,-0.180147,-0.016494,1.268849,-0.194524,0.033596,1.044830,-0.194524,0.033596,1.044830,-0.193032,-0.011781,0.878931,-0.193032,-0.011781,0.878931,-0.199087,-0.028120,0.823610,-0.008560,-0.071856,1.482674,-0.008560,-0.071856,1.482674
-0.002276,0.026188,0.851583,0.141801,0.024790,0.813538,0.125904,0.022966,0.753403,0.131026,0.013939,0.460188,0.131026,0.013939,0.460188,0.122952,0.098364,0.058033,0.122952,0.098364,0.058033,-0.145714,0.039453,0.813409,-0.129916,0.037188,0.753264,-0.124971,0.033051,0.459936,-0.124971,0.033051,0.459936,-0.098346,0.101570,0.055563,-0.098346,0.101570,0.055563,-0.005757,-0.038445,1.266701,0.167519,-0.062826,1.264358,0.167519,-0.062826,1.264358,0.201178,-0.033082,1.038787,0.201178,-0.033082,1.038787,0.177791,-0.087257,0.877225,0.177791,-0.087257,0.877225,0.173743,-0.108183,0.823284,-0.179036,-0.014064,1.269044,-0.179036,-0.014064,1.269044,-0.193800,0.035641,1.044965,-0.193800,0.035641,1.044965,-0.193496,-0.010415,0.879246,-0.193496,-0.010415,0.879246,-0.199826,-0.026881,0.823994,-0.007566,-0.072010,1.482277,-0.007566,-0.072010,1.482277
-0.001695,0.027030,0.851302,0.142203,0.023613,0.812711,0.126043,0.021239,0.752665,0.132504,0.008607,0.459610,0.132504,0.008607,0.459610,0.124478,0.099732,0.058919,0.124478,0.099732,0.058919,-0.145069,0.042416,0.813691,-0.129560,0.039763,0.753486,-0.123992,0.034631,0.460184,-0.123992,0.034631,0.460184,-0.096566,0.100822,0.055477,-0.096566,0.100822,0.055477,-0.004546,-0.038165,1.266338,0.168377,-0.064869,1.263331,0.168377,-0.064869,1.263331,0.201453,-0.035800,1.037585,0.201453,-0.035800,1.037585,0.176649,-0.089743,0.876157,0.176649,-0.089743,0.876157,0.172273,-0.110744,0.822270,-0.177472,-0.011461,1.269344,-0.177472,-0.011461,1.269344,-0.192730,0.037871,1.045216,-0.192730,0.037871,1.045216,-0.193838,-0.008954,0.879716,-0.193838,-0.008954,0.879716,-0.200485,-0.025578,0.824549,-0.006028,-0.072021,1.481871,-0.006028,-0.072021,1.481871
-0.001028,0.027840,0.851159,0.142698,0.022470,0.812155,0.126314,0.019389,0.752203,0.133723,0.002433,0.459389,0.133723,0.002433,0.459389,0.125602,0.100809,0.060418,0.125602,0.100809,0.060418,-0.144280,0.045263,0.813972,-0.129006,0.042259,0.753724,-0.122958,0.036262,0.460449,-0.122958,0.036262,0.460449,-0.095007,0.100101,0.055400,-0.095007,0.100101,0.055400,-0.003615,-0.037806,1.266125,0.168917,-0.066871,1.262602,0.168917,-0.066871,1.262602,0.201610,-0.038720,1.036685,0.201610,-0.038720,1.036685,0.175503,-0.092399,0.875375,0.175503,-0.092399,0.875375,0.170757,-0.113420,0.821527,-0.176150,-0.008741,1.269647,-0.176150,-0.008741,1.269647,-0.191770,0.040255,1.045470,-0.191770,0.040255,1.045470,-0.194261,-0.007423,0.880229,-0.194261,-0.007423,0.880229,-0.201224,-0.024234,0.825157,-0.004959,-0.071897,1.481622,-0.004959,-0.071897,1.481622
-0.000150,0.028590,0.851200,0.143445,0.021366,0.812011,0.126909,0.017389,0.752153,0.134574,-0.004689,0.459687,0.134574,-0.004689,0.459687,0.126405,0.101410,0.062701,0.126405,0.101410,0.062701,-0.143207,0.047922,0.814207,-0.128073,0.044590,0.753940,-0.121770,0.037825,0.460687,-0.121770,0.037825,0.460687,-0.093605,0.099522,0.055321,-0.093605,0.099522,0.055321,-0.003080,-0.037351,1.266117,0.169014,-0.068875,1.262322,0.169014,-0.068875,1.262322,0.201663,-0.041892,1.036256,0.201663,-0.041892,1.036256,0.174511,-0.095290,0.875025,0.174511,-0.095290,0.875025,0.169320,-0.116217,0.821181,-0.175177,-0.005826,1.269911,-0.175177,-0.005826,1.269911,-0.190838,0.042749,1.045645,-0.190838,0.042749,1.045645,-0.194540,-0.005857,0.880698,-0.194540,-0.005857,0.880698,-0.201787,-0.022877,0.825727,-0.004603,-0.071595,1.481588,-0.004603,-0.071595,1.481588
0.000832,0.029210,0.851333,0.144282,0.020180,0.811987,0.127582,0.015161,0.752254,0.134543,-0.012653,0.460259,0.134543,-0.012653,0.460259,0.127144,0.100901,0.065326,0.127144,0.100901,0.065326,-0.142008,0.050361,0.814500,-0.126996,0.046769,0.754218,-0.120480,0.039509,0.460981,-0.120480,0.039509,0.460981,-0.092332,0.098924,0.055274,-0.092332,0.098924,0.055274,-0.002486,-0.036802,1.266236,0.169159,-0.070666,1.262221,0.169159,-0.070666,1.262221,0.201842,-0.044889,1.036019,0.201842,-0.044889,1.036019,0.173703,-0.098133,0.874906,0.173703,-0.098133,0.874906,0.168140,-0.119050,0.821096,-0.174132,-0.002939,1.270251,-0.174132,-0.002939,1.270251,-0.189788,0.045382,1.045930,-0.189788,0.045382,1.045930,-0.194690,-0.004138,0.881285,-0.194690,-0.004138,0.881285,-0.202306,-0.021374,0.826432,-0.004210,-0.071084,1.481700,-0.004210,-0.071084,1.481700
