f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119
0.709760,0.055483,0.048871,-0.700552,0.724593,0.006692,-0.002532,-0.689140,0.724622,0.001700,0.002216,-0.689141,0.759412,0.001813,0.002125,-0.650604,0.757138,0.050336,0.058763,-0.648656,0.759386,-0.005712,-0.006659,-0.650581,0.759353,0.009080,-0.019330,-0.650328,0.698555,0.006805,0.001485,-0.715522,0.698553,0.007089,0.001195,-0.715523,0.613524,0.006909,0.001985,-0.789643,0.611079,0.074824,0.054765,-0.786121,0.613470,-0.006454,-0.008397,-0.789647,0.613268,-0.017010,0.005194,-0.789675,0.674278,0.053000,0.051553,-0.734767,0.674231,0.053670,0.052167,-0.734718,0.668653,0.101836,-0.000604,-0.736568,0.501405,0.099748,0.020523,-0.859199,0.424735,0.513994,0.267262,-0.695688,0.406349,0.528649,0.242568,-0.704678,0.434854,0.538136,0.220725,-0.687453,0.437590,0.529467,0.215250,-0.694152,0.671917,0.080074,0.076396,-0.732311,0.674514,0.053988,0.104703,-0.728802,0.762282,0.066951,0.096929,-0.636434,0.603859,0.384770,0.475209,-0.511354,0.609083,0.376446,0.482182,-0.504784,0.579090,0.348135,0.503004,-0.538928,0.603727,0.320506,0.473151,-0.555804,0.674278,0.053000,0.051553,-0.734767,0.674278,0.053000,0.051553,-0.734767
0.706103,0.055704,0.049281,-0.704193,0.721485,0.004985,-0.003618,-0.692402,0.721501,0.001331,-0.000111,-0.692412,0.759497,0.001322,-0.000186,-0.650509,0.757093,0.053198,0.060386,-0.648332,0.759463,-0.004729,-0.007251,-0.650493,0.759413,0.009882,-0.019763,-0.650234,0.694342,0.004794,0.000244,-0.719629,0.694333,0.006020,-0.001027,-0.719628,0.613043,0.006096,-0.000374,-0.790026,0.610697,0.075601,0.053580,-0.786424,0.612973,-0.005339,-0.009247,-0.790032,0.612791,-0.015848,0.004300,-0.790074,0.671175,0.053253,0.051921,-0.737559,0.671145,0.053677,0.052307,-0.737528,0.665579,0.101593,-0.000633,-0.739380,0.498629,0.099535,0.020351,-0.860841,0.422502,0.514391,0.265587,-0.697393,0.404394,0.528745,0.241223,-0.706191,0.432372,0.537988,0.219838,-0.689416,0.434960,0.529736,0.214671,-0.695777,0.668922,0.079267,0.075591,-0.735218,0.671489,0.053322,0.103985,-0.731742,0.760037,0.066255,0.096262,-0.639287,0.602219,0.385703,0.473556,-0.514111,0.607186,0.377835,0.480205,-0.507906,0.576643,0.349290,0.501351,-0.542334,0.601281,0.321391,0.471520,-0.559319,0.671175,0.053253,0.051921,-0.737559,0.671175,0.053253,0.051921,-0.737559
0.702024,0.055964,0.049856,-0.708198,0.718134,0.002693,-0.005090,-0.695881,0.718138,0.000582,-0.003044,-0.695893,0.759556,0.000394,-0.003074,-0.650434,0.756978,0.056624,0.062603,-0.647965,0.759523,-0.003612,-0.007752,-0.650424,0.759454,0.010842,-0.020128,-0.650159,0.689641,0.002525,-0.001016,-0.724146,0.689629,0.004810,-0.003415,-0.724139,0.612372,0.005133,-0.002908,-0.790548,0.610145,0.076321,0.052263,-0.786872,0.612295,-0.004196,-0.010133,-0.790553,0.612135,-0.014603,0.003306,-0.790611,0.667528,0.053529,0.052463,-0.740803,0.667515,0.053720,0.052635,-0.740789,0.661973,0.101257,-0.000407,-0.742656,0.495724,0.099191,0.020353,-0.862557,0.420147,0.514506,0.263881,-0.699376,0.402369,0.528525,0.239894,-0.707963,0.430221,0.537652,0.218674,-0.691391,0.432706,0.529670,0.213715,-0.697525,0.665405,0.078230,0.074719,-0.738603,0.667943,0.052300,0.103380,-0.735139,0.757451,0.065237,0.095743,-0.642530,0.600292,0.386473,0.471750,-0.517436,0.605206,0.378731,0.478356,-0.511335,0.574301,0.350140,0.499664,-0.545817,0.598883,0.322031,0.469920,-0.562859,0.667528,0.053529,0.052463,-0.740803,0.667528,0.053529,0.052463,-0.740803
0.697286,0.056277,0.050694,-0.712780,0.714405,-0.000551,-0.007181,-0.699696,0.714404,-0.000768,-0.006969,-0.699698,0.759572,-0.001232,-0.006902,-0.650386,0.756750,0.060974,0.065772,-0.647522,0.759560,-0.002272,-0.008117,-0.650383,0.759467,0.012078,-0.020403,-0.650114,0.684180,-0.000147,-0.002293,-0.729310,0.684171,0.003386,-0.006058,-0.729288,0.611407,0.003949,-0.005707,-0.791286,0.609325,0.076939,0.050728,-0.787547,0.611333,-0.003002,-0.011078,-0.791290,0.611197,-0.013222,0.002154,-0.791365,0.663275,0.053851,0.053264,-0.744533,0.663289,0.053648,0.053083,-0.744548,0.657808,0.100592,0.000103,-0.746438,0.492537,0.098475,0.020526,-0.864459,0.417512,0.514247,0.262102,-0.701809,0.400179,0.527848,0.238618,-0.710137,0.428456,0.537030,0.217164,-0.693444,0.430906,0.529083,0.212262,-0.699526,0.661304,0.076916,0.073809,-0.742505,0.663816,0.050860,0.102940,-0.739030,0.754264,0.063812,0.095454,-0.646454,0.597859,0.387101,0.469671,-0.521658,0.603034,0.378988,0.476676,-0.515265,0.572010,0.350590,0.497934,-0.549503,0.596458,0.322353,0.468370,-0.566529,0.663275,0.053851,0.053264,-0.744533,0.663275,0.053851,0.053264,-0.744533
0.692172,0.056335,0.051789,-0.717664,0.710481,-0.004679,-0.009507,-0.703636,0.710492,-0.002509,-0.011655,-0.703604,0.759587,-0.003347,-0.011443,-0.650296,0.756459,0.066176,0.069808,-0.646929,0.759628,-0.000693,-0.008343,-0.650304,0.759509,0.013444,-0.020444,-0.650036,0.678424,-0.002862,-0.002999,-0.734659,0.678426,0.002280,-0.008567,-0.734615,0.610276,0.003034,-0.008330,-0.792139,0.608379,0.077120,0.048794,-0.788382,0.610215,-0.001750,-0.012016,-0.792143,0.610106,-0.011630,0.000810,-0.792234,0.658654,0.053910,0.054309,-0.748545,0.658706,0.053188,0.053674,-0.748596,0.653313,0.099522,0.000732,-0.750518,0.488416,0.097327,0.020800,-0.866917,0.413927,0.514121,0.260092,-0.704767,0.397202,0.527149,0.237325,-0.712756,0.425634,0.536294,0.215864,-0.696151,0.428167,0.527992,0.210796,-0.702469,0.656821,0.075399,0.073216,-0.746686,0.659301,0.049203,0.102870,-0.743182,0.750767,0.062224,0.095558,-0.650650,0.595061,0.387610,0.467638,-0.526285,0.600177,0.379640,0.474614,-0.520002,0.569289,0.351726,0.495655,-0.553647,0.593549,0.323373,0.466330,-0.570672,0.658654,0.053910,0.054309,-0.748545,0.658654,0.053910,0.054309,-0.748545
0.686818,0.056159,0.053062,-0.722711,0.706482,-0.009637,-0.012107,-0.707562,0.706532,-0.004694,-0.017056,-0.707460,0.759460,-0.006008,-0.016639,-0.650314,0.755969,0.072069,0.074612,-0.646336,0.759597,0.001183,-0.008241,-0.650340,0.759450,0.014997,-0.020066,-0.650083,0.672527,-0.005519,-0.003169,-0.740045,0.672548,0.001495,-0.010887,-0.739972,0.609090,0.002389,-0.010726,-0.793025,0.607408,0.076817,0.046494,-0.789299,0.609047,-0.000538,-0.012974,-0.793028,0.608965,-0.010010,-0.000639,-0.793134,0.653648,0.053718,0.055532,-0.752844,0.653747,0.052360,0.054353,-0.752940,0.648461,0.098111,0.001378,-0.754898,0.483414,0.095830,0.021079,-0.869875,0.409503,0.514124,0.257761,-0.708197,0.393598,0.526400,0.235996,-0.715744,0.422271,0.535529,0.214476,-0.699211,0.424956,0.526621,0.209105,-0.705945,0.651944,0.073686,0.072866,-0.751153,0.654386,0.047323,0.103112,-0.747601,0.746916,0.060457,0.096003,-0.655167,0.591900,0.387992,0.465570,-0.531377,0.596826,0.380370,0.472345,-0.525364,0.566305,0.353177,0.493009,-0.558128,0.590398,0.324642,0.463885,-0.575194,0.653648,0.053718,0.055532,-0.752844,0.653648,0.053718,0.055532,-0.752844
0.681451,0.055680,0.054479,-0.727706,0.702597,-0.015366,-0.014899,-0.711266,0.702727,-0.007303,-0.023059,-0.711048,0.759172,-0.009187,-0.022375,-0.650440,0.755280,0.078406,0.079966,-0.645763,0.759464,0.003512,-0.007552,-0.650496,0.759291,0.016582,-0.018746,-0.650270,0.666792,-0.007903,-0.002630,-0.745198,0.666837,0.001238,-0.012845,-0.745092,0.608095,0.002214,-0.012713,-0.793759,0.606655,0.075794,0.043718,-0.790135,0.608066,0.000467,-0.014052,-0.793762,0.608002,-0.008805,-0.001947,-0.793884,0.648433,0.053203,0.056900,-0.757276,0.648605,0.050871,0.054903,-0.757436,0.643452,0.096155,0.001740,-0.759421,0.477398,0.093836,0.021062,-0.873409,0.404233,0.514287,0.254848,-0.712150,0.389593,0.525465,0.234696,-0.719043,0.419683,0.534929,0.212241,-0.701905,0.422479,0.525508,0.206618,-0.708986,0.646847,0.071709,0.072743,-0.755748,0.649234,0.045255,0.103520,-0.752150,0.742404,0.058461,0.096679,-0.660357,0.588176,0.388365,0.463206,-0.537273,0.593304,0.380485,0.470331,-0.531047,0.563290,0.354120,0.490488,-0.562783,0.587468,0.325089,0.461255,-0.580037,0.648433,0.053203,0.056900,-0.757276,0.648433,0.053203,0.056900,-0.757276
0.676266,0.055429,0.055484,-0.732471,0.699036,-0.021677,-0.018790,-0.714511,0.699282,-0.011200,-0.029495,-0.714149,0.757186,-0.013655,-0.028441,-0.652437,0.752809,0.084945,0.086133,-0.647027,0.757703,0.006450,-0.005103,-0.652548,0.757477,0.019611,-0.016437,-0.652361,0.661275,-0.009798,-0.002270,-0.750076,0.661347,0.000970,-0.014483,-0.749940,0.607214,0.001981,-0.014379,-0.794406,0.605991,0.074497,0.041115,-0.790907,0.607201,0.001256,-0.014934,-0.794407,0.607154,-0.007678,-0.003244,-0.794541,0.643122,0.052914,0.057887,-0.761737,0.643389,0.049307,0.054841,-0.761979,0.638362,0.094199,0.001396,-0.763949,0.470708,0.091971,0.020414,-0.877245,0.398589,0.515008,0.251217,-0.716089,0.385327,0.525005,0.232875,-0.722262,0.416274,0.534606,0.209898,-0.704880,0.419197,0.524595,0.203997,-0.712362,0.641653,0.070071,0.072369,-0.760351,0.644004,0.043449,0.103782,-0.756704,0.737581,0.056670,0.097196,-0.665820,0.584428,0.388846,0.460343,-0.543440,0.589747,0.380730,0.467810,-0.537025,0.560201,0.355182,0.487491,-0.567779,0.584445,0.325621,0.458144,-0.585234,0.643122,0.052914,0.057887,-0.761737,0.643122,0.052914,0.057887,-0.761737
0.671386,0.055603,0.055835,-0.736907,0.695896,-0.028497,-0.024133,-0.717171,0.696276,-0.016863,-0.036115,-0.716667,0.752604,-0.019762,-0.034614,-0.657266,0.747629,0.091590,0.093063,-0.651153,0.753399,0.010134,-0.000369,-0.657485,0.753060,0.024778,-0.013151,-0.657354,0.656059,-0.011064,-0.002406,-0.754625,0.656152,0.000539,-0.015750,-0.754464,0.606439,0.001548,-0.015683,-0.794974,0.605390,0.073063,0.038940,-0.791611,0.606444,0.001815,-0.015480,-0.794974,0.606412,-0.006519,-0.004554,-0.795111,0.637600,0.053038,0.058276,-0.766327,0.637976,0.047896,0.053998,-0.766666,0.633053,0.092475,0.000153,-0.768565,0.463508,0.090511,0.018958,-0.881254,0.392791,0.516513,0.246808,-0.719732,0.380904,0.525341,0.230322,-0.725176,0.411519,0.534696,0.207682,-0.708252,0.414604,0.523954,0.201453,-0.716235,0.636265,0.068800,0.071387,-0.765073,0.638592,0.042036,0.103434,-0.761403,0.732579,0.055187,0.097057,-0.671463,0.580888,0.389626,0.456793,-0.549637,0.586217,0.381562,0.464345,-0.543272,0.556998,0.356752,0.483667,-0.573191,0.581185,0.326737,0.454317,-0.590815,0.637600,0.053038,0.058276,-0.766327,0.637600,0.053038,0.058276,-0.766327
0.666672,0.055648,0.055942,-0.741163,0.693003,-0.036133,-0.030234,-0.719394,0.693515,-0.024405,-0.042398,-0.718779,0.744058,-0.027431,-0.040506,-0.666322,0.738456,0.097991,0.099722,-0.659648,0.745142,0.013423,0.005132,-0.666751,0.744616,0.031042,-0.010638,-0.666686,0.651135,-0.011907,-0.002320,-0.758865,0.651244,0.000368,-0.016622,-0.758686,0.605804,0.001338,-0.016572,-0.795441,0.604913,0.071311,0.036787,-0.792239,0.605822,0.002230,-0.015893,-0.795439,0.605798,-0.005790,-0.005362,-0.795579,0.632326,0.053050,0.058412,-0.770674,0.632800,0.046484,0.053024,-0.771098,0.627966,0.090857,-0.001317,-0.772918,0.456549,0.089204,0.017300,-0.885046,0.387395,0.517808,0.242203,-0.723283,0.376728,0.525620,0.227366,-0.728083,0.407420,0.534833,0.204756,-0.711363,0.410691,0.523211,0.198113,-0.719955,0.631082,0.067897,0.070591,-0.769508,0.633400,0.040978,0.103276,-0.765807,0.727436,0.054036,0.097084,-0.677120,0.577303,0.390472,0.453111,-0.555826,0.582797,0.382225,0.460968,-0.549328,0.553484,0.357771,0.480195,-0.578851,0.577398,0.327593,0.451158,-0.596449,0.632326,0.053050,0.058412,-0.770674,0.632326,0.053050,0.058412,-0.770674
