f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28
-0.146634,-0.013779,0.103850,0.149317,-0.172451,0.038959,-0.140949,0.000812,-0.225724,0.172291,-0.206135,-0.034420,-0.098863,0.001822,0.143408,-0.417705,1.041473,-0.070527,0.081893,-0.025098,0.073808,-0.077487,0.256798,1.080516,0.027448,-0.114915,-0.100933,0.000000,0.000000
-0.151646,-0.010130,0.113143,0.159674,-0.178280,0.038476,-0.146636,0.003531,-0.215180,0.176246,-0.205193,-0.034292,-0.096885,0.001152,0.143320,-0.415814,1.040795,-0.069429,0.080177,-0.023830,0.070645,-0.077412,0.257983,1.080759,0.026022,-0.116295,-0.101278,0.000000,0.000000
-0.158385,-0.005880,0.123016,0.173123,-0.185440,0.038061,-0.153026,0.006627,-0.203845,0.180395,-0.203994,-0.033999,-0.095209,0.000516,0.142964,-0.412801,1.039537,-0.068170,0.079602,-0.022987,0.066782,-0.077780,0.259518,1.080658,0.025686,-0.116904,-0.101392,0.000000,0.000000
-0.167897,-0.000607,0.133771,0.191563,-0.194763,0.037787,-0.160496,0.010326,-0.191268,0.184791,-0.202359,-0.033440,-0.093337,-0.000546,0.142076,-0.408954,1.037879,-0.066524,0.080574,-0.022819,0.062037,-0.078641,0.260761,1.080014,0.027022,-0.116517,-0.101182,0.000000,0.000000
-0.179077,0.006106,0.144985,0.214170,-0.206008,0.037224,-0.167188,0.015158,-0.178430,0.187360,-0.199441,-0.032382,-0.091427,-0.001929,0.141204,-0.406394,1.036890,-0.064240,0.080710,-0.023743,0.057485,-0.079607,0.262112,1.078924,0.026671,-0.115044,-0.100853,0.000000,0.000000
-0.191826,0.013992,0.155845,0.240568,-0.218453,0.036373,-0.172922,0.020857,-0.165483,0.188008,-0.195390,-0.031107,-0.089903,-0.003606,0.140475,-0.404937,1.036432,-0.061138,0.081047,-0.025358,0.053104,-0.080713,0.263470,1.077333,0.025645,-0.112646,-0.100692,0.000000,0.000000
-0.205791,0.022949,0.165738,0.269895,-0.230853,0.034422,-0.176977,0.027416,-0.152617,0.185687,-0.190089,-0.030496,-0.088925,-0.006159,0.140136,-0.405396,1.036837,-0.056320,0.084691,-0.026708,0.048922,-0.081630,0.263460,1.075190,0.026678,-0.109730,-0.101592,0.000000,0.000000
-0.221952,0.029971,0.169383,0.302930,-0.241310,0.034742,-0.180337,0.032565,-0.140151,0.182841,-0.184668,-0.029427,-0.088714,-0.009471,0.140040,-0.407203,1.038069,-0.051004,0.086724,-0.028254,0.045084,-0.082814,0.262750,1.072325,0.027645,-0.106949,-0.102531,0.000000,0.000000
-0.240627,0.033427,0.163899,0.339600,-0.248661,0.038884,-0.183207,0.035370,-0.128295,0.180178,-0.179506,-0.027484,-0.089889,-0.013417,0.140233,-0.409624,1.040246,-0.045637,0.085419,-0.030161,0.041167,-0.083963,0.261998,1.069311,0.027637,-0.104658,-0.103122,0.000000,0.000000
-0.261086,0.033831,0.145896,0.377232,-0.254684,0.047304,-0.184597,0.037697,-0.116921,0.176176,-0.173933,-0.026476,-0.090857,-0.017034,0.140721,-0.412096,1.041751,-0.040887,0.085273,-0.032480,0.038558,-0.085142,0.260314,1.065548,0.028438,-0.103907,-0.102684,0.000000,0.000000
-0.281153,0.029283,0.113504,0.410198,-0.258797,0.056498,-0.184739,0.039661,-0.105670,0.171144,-0.168112,-0.025484,-0.091665,-0.020131,0.141485,-0.414416,1.042627,-0.037275,0.085807,-0.034551,0.036845,-0.086133,0.257952,1.061791,0.029211,-0.104073,-0.101793,0.000000,0.000000
-0.295966,0.014702,0.057906,0.426410,-0.260713,0.058044,-0.184431,0.040862,-0.094109,0.166826,-0.162951,-0.022930,-0.092161,-0.022738,0.142134,-0.416889,1.043447,-0.036145,0.085416,-0.034541,0.035751,-0.086822,0.255110,1.059161,0.027515,-0.103530,-0.101787,0.000000,0.000000
-0.305442,-0.005971,-0.008023,0.428931,-0.258155,0.056852,-0.182668,0.042058,-0.080191,0.159124,-0.156902,-0.014554,-0.091989,-0.024002,0.142714,-0.418497,1.043161,-0.036830,0.085255,-0.034218,0.035123,-0.087482,0.252068,1.057516,0.026536,-0.103223,-0.102231,0.000000,0.000000
-0.308730,-0.030774,-0.079948,0.417382,-0.249967,0.054519,-0.178931,0.043526,-0.062775,0.146202,-0.149294,0.001506,-0.091124,-0.023377,0.143238,-0.418496,1.041210,-0.039262,0.085683,-0.034169,0.034783,-0.088176,0.249208,1.057040,0.027424,-0.103396,-0.103039,0.000000,0.000000
-0.309089,-0.051551,-0.144126,0.398596,-0.237873,0.049888,-0.184661,0.045802,-0.039485,0.153185,-0.148550,0.000724,-0.089306,-0.021280,0.143573,-0.416462,1.037703,-0.043302,0.081651,-0.033577,0.034322,-0.089043,0.246563,1.057237,0.027309,-0.104614,-0.102978,0.000000,0.000000
