f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28
-0.250620,0.182470,0.464670,0.517870,-0.291440,-0.024130,-0.284340,0.135940,0.527210,0.197770,0.047080,0.006400,0.098890,-0.033520,-0.004410,0.094569,-0.033885,0.054890,-0.085820,0.063420,-0.158140,0.003730,0.059231,0.012171,-0.071290,-0.068990,-0.017260,0.000000,0.000000
-0.293765,0.197465,0.479140,0.595145,-0.324715,-0.022460,-0.301935,0.145365,0.546975,0.202600,0.053525,0.010530,0.091345,-0.032645,-0.011100,0.122590,-0.048399,0.058920,-0.057270,0.052780,-0.175645,-0.007325,0.068000,0.003546,-0.044055,-0.049725,-0.011480,0.000000,0.000000
-0.406255,0.238070,0.515700,0.797214,-0.412085,-0.017230,-0.346505,0.169880,0.597790,0.213610,0.070860,0.021305,0.088700,-0.042430,-0.031090,0.171500,-0.072902,0.072620,0.009940,0.025265,-0.215205,-0.030725,0.069449,-0.018629,0.025000,-0.005565,0.002395,0.000000,0.000000
-0.517320,0.299660,0.549225,1.026170,-0.514200,-0.020920,-0.354040,0.213290,0.635380,0.174125,0.113830,0.040430,0.094555,-0.061130,-0.043995,0.160190,-0.066173,0.098260,0.027695,-0.018900,-0.232440,-0.045665,0.064855,-0.043336,0.024625,0.046490,0.013475,0.000000,0.000000
-0.598235,0.364970,0.551840,1.225125,-0.592245,-0.035355,-0.310650,0.263275,0.644630,0.080430,0.174225,0.058320,0.085855,-0.076510,-0.040030,0.100415,-0.036180,0.134660,0.011820,-0.063475,-0.223325,-0.051790,0.067735,-0.067031,-0.034430,0.096785,0.012260,0.000000,0.000000
-0.667850,0.421075,0.518845,1.393135,-0.621125,-0.070040,-0.244730,0.306445,0.645325,-0.041820,0.233785,0.047145,0.062550,-0.105755,-0.026705,0.024955,-0.001317,0.198000,0.099535,-0.074130,-0.214070,-0.050595,0.033690,-0.093365,0.000180,0.132870,-0.018475,0.000000,0.000000
-0.753140,0.399480,0.338455,1.559040,-0.571425,-0.040770,-0.185385,0.292690,0.633300,-0.129175,0.268045,0.042005,0.029725,-0.146630,-0.010875,-0.056650,0.040916,0.253360,0.141920,-0.072405,-0.200490,-0.052535,-0.018005,-0.125206,0.050010,0.142415,-0.045985,0.000000,0.000000
-0.870885,0.261945,-0.045975,1.742630,-0.445200,0.111555,-0.155750,0.198845,0.608055,-0.137730,0.264575,0.075285,-0.024090,-0.181455,0.002435,-0.105720,0.085223,0.267075,0.018185,-0.086335,-0.193860,-0.058315,-0.036540,-0.146970,0.023970,0.126780,-0.038245,0.000000,0.000000
-0.978349,0.096500,-0.587180,1.857550,-0.334355,0.314040,-0.106480,0.128310,0.580755,-0.166625,0.268380,0.073780,-0.053585,-0.189070,0.017020,-0.122334,0.092068,0.252905,-0.036265,-0.105635,-0.163160,-0.058185,-0.060895,-0.169417,0.019810,0.076070,-0.003810,0.000000,0.000000
-1.013154,-0.103595,-1.259884,1.764945,-0.253409,0.440340,-0.038295,0.107280,0.565615,-0.225850,0.284860,0.050010,-0.044410,-0.167840,0.031290,-0.119789,0.059515,0.209045,0.009705,-0.109740,-0.108060,-0.054250,-0.101155,-0.188002,0.039355,0.014635,0.033225,0.000000,0.000000
