body_0_vel_x,body_0_vel_y,body_0_vel_z,body_1_vel_x,body_1_vel_y,body_1_vel_z,body_2_vel_x,body_2_vel_y,body_2_vel_z,body_3_vel_x,body_3_vel_y,body_3_vel_z,body_4_vel_x,body_4_vel_y,body_4_vel_z,body_5_vel_x,body_5_vel_y,body_5_vel_z,body_6_vel_x,body_6_vel_y,body_6_vel_z,body_7_vel_x,body_7_vel_y,body_7_vel_z,body_8_vel_x,body_8_vel_y,body_8_vel_z,body_9_vel_x,body_9_vel_y,body_9_vel_z,body_10_vel_x,body_10_vel_y,body_10_vel_z,body_11_vel_x,body_11_vel_y,body_11_vel_z,body_12_vel_x,body_12_vel_y,body_12_vel_z,body_13_vel_x,body_13_vel_y,body_13_vel_z,body_14_vel_x,body_14_vel_y,body_14_vel_z,body_15_vel_x,body_15_vel_y,body_15_vel_z,body_16_vel_x,body_16_vel_y,body_16_vel_z,body_17_vel_x,body_17_vel_y,body_17_vel_z,body_18_vel_x,body_18_vel_y,body_18_vel_z,body_19_vel_x,body_19_vel_y,body_19_vel_z,body_20_vel_x,body_20_vel_y,body_20_vel_z,body_21_vel_x,body_21_vel_y,body_21_vel_z,body_22_vel_x,body_22_vel_y,body_22_vel_z,body_23_vel_x,body_23_vel_y,body_23_vel_z,body_24_vel_x,body_24_vel_y,body_24_vel_z,body_25_vel_x,body_25_vel_y,body_25_vel_z,body_26_vel_x,body_26_vel_y,body_26_vel_z,body_27_vel_x,body_27_vel_y,body_27_vel_z,body_28_vel_x,body_28_vel_y,body_28_vel_z,body_29_vel_x,body_29_vel_y,body_29_vel_z
-0.002429999,-0.000960007,0.000521541,-0.002416017,-0.000918155,0.000581871,-0.002463385,0.000665218,0.000649038,-0.002852575,0.007615616,0.000964672,-0.002852575,0.007615616,0.000964672,0.001386338,-0.005267496,-0.001339052,0.001386339,-0.005267497,-0.001339051,-0.002410533,-0.001028289,0.000460632,-0.002388156,-0.001003677,0.000468177,0.000160863,-0.000775121,0.000269392,0.000160863,-0.000775121,0.000269392,0.000909590,-0.002190180,-0.000009554,0.000909593,-0.002190173,-0.000009553,-0.002612171,-0.000816064,0.000524687,-0.002611783,-0.000771791,0.000601390,-0.002611783,-0.000771791,0.000601390,-0.002593720,-0.000355821,0.000626765,-0.002593720,-0.000355821,0.000626765,-0.002500127,-0.000086453,0.000639712,-0.002500127,-0.000086453,0.000639712,-0.002472809,-0.000000909,0.000656370,-0.002612559,-0.000860337,0.000447983,-0.002612559,-0.000860337,0.000447983,-0.002807993,-0.000129221,-0.000939694,-0.002807993,-0.000129221,-0.000939694,-0.003041786,0.000406665,-0.001936784,-0.003041786,0.000406665,-0.001936784,-0.003123218,0.000587402,-0.002272706,-0.002706775,-0.000741312,0.000526321,-0.002706775,-0.000741312,0.000526321
-0.002790000,0.001014955,0.000199676,-0.002776018,0.001056808,0.000260006,-0.002816812,0.002499199,0.000321330,-0.003175778,0.008832926,0.000611571,-0.003175778,0.008832926,0.000611571,0.000884429,-0.002361338,-0.001350596,0.000884430,-0.002361338,-0.001350596,-0.002770533,0.000946674,0.000138767,-0.002754387,0.001070204,0.000151518,-0.000193643,0.001741533,-0.000026775,-0.000193643,0.001741534,-0.000026775,0.001223178,0.001265474,-0.000185642,0.001223180,0.001265466,-0.000185642,-0.002972171,0.001158898,0.000202822,-0.002971805,0.001188261,0.000279280,-0.002971804,0.001188261,0.000279280,-0.002950334,0.001680103,0.000282391,-0.002950334,0.001680103,0.000282391,-0.002843653,0.001991464,0.000263778,-0.002843653,0.001991464,0.000263778,-0.002812942,0.002090507,0.000279149,-0.002972538,0.001129536,0.000126363,-0.002972538,0.001129536,0.000126363,-0.003226404,0.002118819,-0.001656406,-0.003226404,0.002118819,-0.001656406,-0.003537392,0.002850141,-0.002940110,-0.003537392,0.002850141,-0.002940110,-0.003645459,0.003096692,-0.003371445,-0.003066776,0.001233650,0.000204455,-0.003066776,0.001233650,0.000204455
-0.000545001,0.002185022,0.000637770,-0.000506679,0.002106421,0.000761905,-0.000418534,0.001336256,0.000710652,-0.000006174,-0.002091040,0.000577363,-0.000006174,-0.002091041,0.000577363,-0.000334811,-0.000375704,0.000901638,-0.000334811,-0.000375702,0.000901638,-0.000508748,0.002129286,0.000511108,-0.000451155,0.002034958,0.000519632,0.001296702,0.001677531,0.000359523,0.001296702,0.001677531,0.000359523,0.003371256,0.001054121,0.000139455,0.003371256,0.001054121,0.000139455,-0.000951167,0.002916678,0.000651527,-0.000950672,0.002751992,0.000818449,-0.000950672,0.002751992,0.000818449,-0.000917249,0.003519333,0.000829835,-0.000917249,0.003519333,0.000829835,-0.000784351,0.003912069,0.000769418,-0.000784350,0.003912069,0.000769418,-0.000741140,0.004022056,0.000825494,-0.000951662,0.003081365,0.000484603,-0.000951661,0.003081365,0.000484603,-0.001564021,0.005728041,-0.003678421,-0.001564022,0.005728041,-0.003678421,-0.002347484,0.007677985,-0.006660274,-0.002347484,0.007677985,-0.006660275,-0.002618106,0.008335192,-0.007653060,-0.001162094,0.003296637,0.000658671,-0.001162094,0.003296637,0.000658671
-0.001500000,0.002810033,0.000241399,-0.001421572,0.002618131,0.000488868,-0.001226802,0.000683305,0.000369243,-0.000103088,-0.007914041,0.000052594,-0.000103088,-0.007914042,0.000052594,-0.002777233,0.000252723,0.001509684,-0.002777234,0.000252723,0.001509684,-0.001433942,0.002818062,-0.000009694,-0.001302304,0.002395042,-0.000004496,-0.000885128,0.000503853,-0.000128286,-0.000885128,0.000503853,-0.000128286,0.000552452,-0.001312204,-0.000512344,0.000552449,-0.001312207,-0.000512344,-0.002286923,0.003811471,0.000261139,-0.002285979,0.003498663,0.000584437,-0.002285979,0.003498663,0.000584437,-0.002263050,0.004049779,0.000810873,-0.002263050,0.004049779,0.000810873,-0.002192905,0.004239676,0.000914197,-0.002192906,0.004239676,0.000914197,-0.002156015,0.004274542,0.001031274,-0.002287867,0.004124283,-0.000062162,-0.002287867,0.004124283,-0.000062162,-0.002945931,0.007040247,-0.004527535,-0.002945932,0.007040248,-0.004527535,-0.003794485,0.009179472,-0.007716440,-0.003794485,0.009179471,-0.007716439,-0.004087219,0.009900516,-0.008775229,-0.002695583,0.004331533,0.000271389,-0.002695583,0.004331533,0.000271389
-0.004064999,0.004119985,-0.001348555,-0.003938027,0.003909358,-0.000926482,-0.003689071,0.002398554,-0.001045870,-0.001084293,-0.004309079,-0.001091660,-0.001084293,-0.004309079,-0.001091660,-0.001903725,0.003483877,0.000444749,-0.001903725,0.003483878,0.000444749,-0.003950587,0.004091678,-0.001775542,-0.003743244,0.003619644,-0.001753863,-0.003513729,0.001449464,-0.001875207,-0.003513729,0.001449463,-0.001875207,-0.002400855,-0.000855662,-0.002322780,-0.002400860,-0.000855664,-0.002322779,-0.005379670,0.005421311,-0.001321791,-0.005377735,0.005169858,-0.000777431,-0.005377735,0.005169858,-0.000777431,-0.005376107,0.005278166,-0.000130864,-0.005376107,0.005278165,-0.000130864,-0.005384151,0.005185808,0.000405484,-0.005384152,0.005185808,0.000405484,-0.005354403,0.005119940,0.000610098,-0.005381604,0.005672768,-0.001866158,-0.005381604,0.005672768,-0.001866158,-0.005771982,0.007306078,-0.004578368,-0.005771982,0.007306078,-0.004578368,-0.006253088,0.008491268,-0.006460236,-0.006253088,0.008491267,-0.006460236,-0.006419499,0.008891609,-0.007085824,-0.006062395,0.006097108,-0.001307895,-0.006062395,0.006097108,-0.001307895
-0.002555002,0.004075002,-0.000111759,-0.002448878,0.003856886,0.000232173,-0.002258718,0.002927273,0.000149215,0.000438921,-0.001227957,0.000248895,0.000438921,-0.001227957,0.000248895,0.001216496,0.003141384,0.001216398,0.001216495,0.003141383,0.001216398,-0.002459706,0.004017452,-0.000461000,-0.002289131,0.003603627,-0.000444841,-0.001349917,0.001732815,-0.000609793,-0.001349917,0.001732815,-0.000609793,-0.000182502,-0.001032044,-0.001136894,-0.000182500,-0.001032045,-0.001136895,-0.003652011,0.005576379,-0.000082837,-0.003650617,0.005246252,0.000369730,-0.003650617,0.005246253,0.000369730,-0.003646483,0.005396766,0.000868861,-0.003646483,0.005396766,0.000868861,-0.003697466,0.005193905,0.001298290,-0.003697466,0.005193905,0.001298290,-0.003685645,0.005085934,0.001475570,-0.003653406,0.005906510,-0.000535408,-0.003653405,0.005906510,-0.000535409,-0.004168687,0.008214651,-0.004039784,-0.004168687,0.008214650,-0.004039784,-0.004815510,0.009851487,-0.006471763,-0.004815510,0.009851487,-0.006471763,-0.005039254,0.010404481,-0.007281794,-0.004221702,0.006356066,-0.000067820,-0.004221702,0.006356066,-0.000067820
-0.002855000,0.005439994,0.000940263,-0.002821752,0.005294348,0.001031561,-0.002775391,0.005174826,0.001014894,-0.002165327,0.004560345,0.001054048,-0.002165328,0.004560345,0.001054048,-0.001129436,0.002416421,0.000698147,-0.001129436,0.002416422,0.000698147,-0.002823573,0.005317174,0.000844352,-0.002769613,0.005053343,0.000840364,-0.002227406,0.003818312,0.000738018,-0.002227406,0.003818312,0.000738018,-0.002062901,0.001450922,0.000333443,-0.002062902,0.001450922,0.000333443,-0.003207242,0.006902171,0.000965392,-0.003207139,0.006576270,0.001107789,-0.003207139,0.006576270,0.001107789,-0.003190261,0.006968203,0.001143367,-0.003190261,0.006968203,0.001143367,-0.003251360,0.006787620,0.001171418,-0.003251360,0.006787621,0.001171418,-0.003260034,0.006688008,0.001251121,-0.003207345,0.007228076,0.000822992,-0.003207345,0.007228076,0.000822992,-0.003861647,0.010310024,-0.003565314,-0.003861647,0.010310024,-0.003565314,-0.004698281,0.012465873,-0.006634424,-0.004698281,0.012465874,-0.006634424,-0.004987341,0.013193836,-0.007655647,-0.003390166,0.007661501,0.000978440,-0.003390166,0.007661501,0.000978440
-0.003869997,0.007219985,0.000290573,-0.003780818,0.006979929,0.000567556,-0.003576588,0.005134749,0.000450468,-0.002116924,-0.003093452,0.000200548,-0.002116924,-0.003093453,0.000200548,-0.004108493,0.004560144,0.001613495,-0.004108493,0.004560143,0.001613495,-0.003787390,0.007069177,0.000006586,-0.003651927,0.006748279,0.000020012,-0.003714799,0.005174042,-0.000048742,-0.003714799,0.005174042,-0.000048742,-0.003121540,0.003480447,-0.000364431,-0.003121540,0.003480447,-0.000364431,-0.004805615,0.009348784,0.000328712,-0.004804562,0.009000571,0.000714255,-0.004804562,0.009000571,0.000714255,-0.004790050,0.009375241,0.001079561,-0.004790050,0.009375241,0.001079561,-0.004861407,0.009130073,0.001379211,-0.004861407,0.009130073,0.001379211,-0.004854243,0.008995431,0.001567913,-0.004806668,0.009697001,-0.000056836,-0.004806669,0.009697001,-0.000056836,-0.005500578,0.012881317,-0.004783744,-0.005500578,0.012881317,-0.004783744,-0.006364165,0.015081068,-0.008032575,-0.006364165,0.015081068,-0.008032575,-0.006664206,0.015825266,-0.009124344,-0.005291494,0.010454299,0.000348516,-0.005291494,0.010454299,0.000348516
-0.002419999,0.008010026,0.000303984,-0.002218165,0.007466357,0.000931080,-0.001900616,0.006473210,0.000812389,-0.000326793,0.001730788,0.000758148,-0.000326793,0.001730789,0.000758148,0.000974702,0.000573662,0.000626950,0.000974702,0.000573662,0.000626950,-0.002252227,0.008029382,-0.000332975,-0.001955600,0.007547650,-0.000288335,-0.000685569,0.005406266,-0.000492291,-0.000685570,0.005406266,-0.000492291,0.002127162,0.002977975,-0.001053375,0.002127159,0.002977976,-0.001053375,-0.004433017,0.010865632,0.000357696,-0.004430853,0.010120285,0.001186288,-0.004430853,0.010120286,0.001186288,-0.004422414,0.010411900,0.002045020,-0.004422414,0.010411900,0.002045020,-0.004613843,0.009784940,0.002611180,-0.004613843,0.009784940,0.002611180,-0.004605523,0.009511473,0.002968001,-0.004435180,0.011610989,-0.000470905,-0.004435181,0.011610989,-0.000470906,-0.005528448,0.016698796,-0.007923888,-0.005528448,0.016698796,-0.007923888,-0.006886132,0.020166764,-0.013040028,-0.006886131,0.020166764,-0.013040025,-0.007361794,0.021341747,-0.014792142,-0.005478402,0.012348589,0.000385585,-0.005478402,0.012348589,0.000385585
-0.000835001,0.005705049,0.000354648,-0.000662358,0.005181081,0.000878911,-0.000516215,0.006998689,0.000898007,-0.001035497,0.014513514,0.001215254,-0.001035497,0.014513515,0.001215255,0.005652030,-0.007843914,-0.002836012,0.005652030,-0.007843914,-0.002836012,-0.000691694,0.005670275,-0.000179699,-0.000434577,0.005116530,-0.000150195,0.001933728,0.002705730,-0.000455758,0.001933728,0.002705730,-0.000455758,0.005259012,-0.001104334,-0.001274580,0.005259012,-0.001104333,-0.001274580,-0.002555784,0.008748172,0.000409569,-0.002554119,0.008091464,0.001118211,-0.002554119,0.008091464,0.001118211,-0.002534140,0.008629120,0.001790420,-0.002534140,0.008629120,0.001790420,-0.002682559,0.008147934,0.002192912,-0.002682559,0.008147934,0.002192912,-0.002669944,0.007918808,0.002516409,-0.002557450,0.009404888,-0.000299082,-0.002557449,0.009404888,-0.000299082,-0.003687733,0.014696536,-0.008081377,-0.003687733,0.014696535,-0.008081378,-0.005085824,0.018276932,-0.013393987,-0.005085826,0.018276934,-0.013393989,-0.005577542,0.019491209,-0.015227811,-0.003449410,0.010328509,0.000438086,-0.003449410,0.010328509,0.000438086
