joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
0.030982999,0.120256998,0.161522001,0.154403001,-0.161542997,-0.083394997,0.037027001,-0.075765997,-0.282211989,0.121358000,-0.156069994,0.060148999,-0.054813001,1.344547033,1.614097953,1.198963046,1.278305054,-0.185038000,-0.190863997,0.052469000,0.525748014,-1.691781044,-0.504335999,1.391219974,0.014248000,-0.007200000,-0.038513999,0.000000000,0.000000000
0.031501599,0.120243795,0.161763400,0.153266802,-0.161187202,-0.084000200,0.037039600,-0.075599000,-0.281279206,0.121245399,-0.158177793,0.059515201,-0.054815598,1.344552040,1.614066124,1.198961020,1.278301954,-0.185038000,-0.190859392,0.052467003,0.525747180,-1.691648722,-0.504336417,1.391220450,0.014247600,-0.007200000,-0.038513198,0.000000000,0.000000000
0.031929400,0.120230794,0.161756605,0.152381212,-0.160646588,-0.084122002,0.037115999,-0.075426601,-0.280812413,0.121178001,-0.159294397,0.058991402,-0.054821603,1.344563365,1.614017248,1.198954344,1.278295398,-0.185038000,-0.190848589,0.052461199,0.525745988,-1.691435456,-0.504337013,1.391222715,0.014246000,-0.007200800,-0.038511999,0.000000000,0.000000000
0.031071998,0.120243602,0.161291003,0.153908789,-0.160741597,-0.083354600,0.037047002,-0.075397797,-0.281017393,0.121225797,-0.158659607,0.058739398,-0.054850001,1.344614625,1.613891125,1.198920012,1.278262854,-0.185037002,-0.190804407,0.052436002,0.525751412,-1.690836549,-0.504330575,1.391226292,0.014234601,-0.007208200,-0.038506798,0.000000000,0.000000000
0.030768000,0.120260194,0.161261201,0.154405400,-0.160896987,-0.083392598,0.036942601,-0.075455599,-0.281271219,0.121273398,-0.157579795,0.059900600,-0.054865204,1.344631672,1.613846302,1.198909163,1.278244615,-0.185038000,-0.190788001,0.052421801,0.525754571,-1.690601707,-0.504327416,1.391227007,0.014227599,-0.007211600,-0.038504999,0.000000000,0.000000000
0.030212000,0.120439000,0.161419004,0.155647993,-0.161799997,-0.083913997,0.036869001,-0.075502999,-0.281448990,0.121310003,-0.156731993,0.061120000,-0.054882001,1.344638944,1.613813996,1.198905945,1.278224945,-0.185039997,-0.190779999,0.052406002,0.525753021,-1.690418005,-0.504328012,1.391226053,0.014220000,-0.007214000,-0.038504001,0.000000000,0.000000000
0.030301601,0.120505802,0.161558807,0.155442595,-0.161456794,-0.084015399,0.036819801,-0.075439401,-0.281143010,0.121253997,-0.157897800,0.058309000,-0.054918200,1.344658613,1.613743424,1.198895216,1.278172493,-0.185053200,-0.190756798,0.052363198,0.525746644,-1.689994574,-0.504333615,1.391217470,0.014199800,-0.007218000,-0.038504802,0.000000000,0.000000000
0.030268800,0.120491594,0.161502197,0.155518383,-0.161222190,-0.083797805,0.036834400,-0.075464398,-0.281093597,0.121234603,-0.158374786,0.056807399,-0.054953203,1.344685555,1.613668919,1.198876739,1.278113842,-0.185072199,-0.190724805,0.052316800,0.525736988,-1.689547062,-0.504341245,1.391205907,0.014177800,-0.007222800,-0.038506802,0.000000000,0.000000000
0.029305801,0.120574594,0.161096394,0.157363400,-0.161824614,-0.083394401,0.036812201,-0.075538002,-0.281580597,0.121315196,-0.157066599,0.058394201,-0.054985203,1.344716668,1.613596678,1.198851466,1.278050184,-0.185104191,-0.190686807,0.052265402,0.525717020,-1.689113855,-0.504359186,1.391190529,0.014154000,-0.007219800,-0.038510598,0.000000000,0.000000000
0.029871600,0.120496601,0.161253005,0.156057000,-0.161101401,-0.083650395,0.036807001,-0.075486198,-0.281738997,0.121308595,-0.157088190,0.058752395,-0.055045001,1.344791770,1.613444328,1.198789358,1.277909756,-0.185177997,-0.190601200,0.052154601,0.525659442,-1.688218832,-0.504410982,1.391151667,0.014098000,-0.007202800,-0.038522199,0.000000000,0.000000000
