joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20,joint_vel_21,joint_vel_22,joint_vel_23,joint_vel_24,joint_vel_25,joint_vel_26,joint_vel_27,joint_vel_28
0.025929976,-0.000660121,0.012069941,-0.056809932,0.017789751,-0.030260161,0.000629947,0.008349866,0.046639144,-0.005630031,-0.105389953,-0.031689927,-0.000129826,0.000250340,-0.001591444,-0.000101328,-0.000154972,0.000000000,0.000230223,-0.000099838,-0.000041723,0.006616116,-0.000020862,0.000023842,-0.000020023,0.000000000,0.000040047,0.000000000,0.000000000
0.023660017,-0.000655092,0.005865097,-0.050544739,0.022410229,-0.018175133,0.002224930,0.008484907,0.034989417,-0.004499964,-0.080610067,-0.028939918,-0.000215042,0.000408292,-0.002017617,-0.000217557,-0.000241399,0.000000000,0.000385195,-0.000195019,-0.000050664,0.008639693,-0.000025332,0.000068545,-0.000050012,-0.000020000,0.000050012,0.000000000,0.000000000
-0.010740012,-0.000004843,-0.011809915,0.016049668,0.011140108,0.016140006,0.000185054,0.005030073,0.006545335,-0.000490062,-0.012045354,-0.019395072,-0.000860076,0.001564622,-0.004374981,-0.001025200,-0.000977516,0.000024959,0.001374632,-0.000775047,0.000105798,0.020304322,0.000146031,0.000146031,-0.000324985,-0.000205007,0.000160001,0.000000000,0.000000000
-0.029035006,0.000735000,-0.012385100,0.050604716,-0.006259978,0.018235110,-0.004334934,-0.000724941,-0.011470169,0.002384931,0.042865053,0.022729952,-0.001090020,0.001707673,-0.004273653,-0.001129508,-0.001269579,0.000000000,0.001514703,-0.000984967,0.000214577,0.020843744,0.000239909,0.000107288,-0.000460027,-0.000270002,0.000174996,0.000000000,0.000000000
-0.021499954,0.004884973,0.003200024,0.043480098,-0.026459992,-0.013984926,-0.004450046,-0.002630055,-0.010789931,0.002105162,0.048190355,0.059515052,-0.000800006,0.000607967,-0.001928210,-0.000351667,-0.000947714,-0.000074878,0.000610203,-0.000749994,0.000040233,0.010463595,0.000064075,-0.000005960,-0.000365009,-0.000144995,0.000069942,0.000000000,0.000000000
-0.011659972,0.006140210,0.007440150,0.025929883,-0.013995171,-0.015570037,-0.003070012,0.000404939,0.003205240,-0.000485033,-0.007950142,-0.039790012,-0.001324899,0.000673532,-0.002571940,-0.000348687,-0.001803041,-0.000379980,0.000780076,-0.001465064,-0.000198185,0.015178323,-0.000154972,-0.000238419,-0.000694976,-0.000159990,0.000004936,0.000000000,0.000000000
0.001419988,0.001314841,0.002079830,-0.003240258,0.014445186,0.002904795,-0.000865012,0.000965036,0.008884817,-0.001884997,-0.041069835,-0.107815027,-0.001780037,0.001165271,-0.003626943,-0.000730157,-0.002777576,-0.000805035,0.001379848,-0.002230052,-0.000400841,0.021773577,-0.000330806,-0.000503659,-0.001055002,-0.000219990,-0.000070035,0.000000000,0.000000000
-0.024894997,0.001719780,-0.011560321,0.048020110,-0.009195507,0.015524961,-0.000189990,-0.002465025,-0.010939687,0.001529977,0.020780042,0.002130028,-0.001675077,0.001451373,-0.003668666,-0.001093745,-0.003057718,-0.001274794,0.001749769,-0.002444908,-0.000740588,0.022017956,-0.000639260,-0.000673532,-0.001144991,-0.000045018,-0.000144914,0.000000000,0.000000000
-0.009929994,0.000125170,-0.006229803,0.013465434,0.003019720,0.003685243,-0.000684988,-0.000545010,-0.016134977,0.001849793,0.032164901,0.048624910,-0.002294965,0.002655387,-0.005614758,-0.002184510,-0.005102158,-0.002644956,0.003090128,-0.004054978,-0.001938641,0.033205748,-0.001743436,-0.001356006,-0.001995009,0.000499992,-0.000384916,0.000000000,0.000000000
0.035829984,-0.004414842,0.012265146,-0.082959980,0.041215494,-0.019565038,-0.001480058,0.003875047,-0.000735372,-0.001104921,-0.022010133,-0.002930034,-0.002044905,0.003209710,-0.006192923,-0.002610683,-0.005304813,-0.002470240,0.003470108,-0.004060008,-0.002475083,0.035744905,-0.002245605,-0.001564622,-0.002200017,0.000770006,-0.000485033,0.000000000,0.000000000
