smpl_joint_local_0_x,smpl_joint_local_0_y,smpl_joint_local_0_z,smpl_joint_local_1_x,smpl_joint_local_1_y,smpl_joint_local_1_z,smpl_joint_local_2_x,smpl_joint_local_2_y,smpl_joint_local_2_z,smpl_joint_local_3_x,smpl_joint_local_3_y,smpl_joint_local_3_z,smpl_joint_local_4_x,smpl_joint_local_4_y,smpl_joint_local_4_z,smpl_joint_local_5_x,smpl_joint_local_5_y,smpl_joint_local_5_z,smpl_joint_local_6_x,smpl_joint_local_6_y,smpl_joint_local_6_z,smpl_joint_local_7_x,smpl_joint_local_7_y,smpl_joint_local_7_z,smpl_joint_local_8_x,smpl_joint_local_8_y,smpl_joint_local_8_z,smpl_joint_local_9_x,smpl_joint_local_9_y,smpl_joint_local_9_z,smpl_joint_local_10_x,smpl_joint_local_10_y,smpl_joint_local_10_z,smpl_joint_local_11_x,smpl_joint_local_11_y,smpl_joint_local_11_z,smpl_joint_local_12_x,smpl_joint_local_12_y,smpl_joint_local_12_z,smpl_joint_local_13_x,smpl_joint_local_13_y,smpl_joint_local_13_z,smpl_joint_local_14_x,smpl_joint_local_14_y,smpl_joint_local_14_z,smpl_joint_local_15_x,smpl_joint_local_15_y,smpl_joint_local_15_z,smpl_joint_local_16_x,smpl_joint_local_16_y,smpl_joint_local_16_z,smpl_joint_local_17_x,smpl_joint_local_17_y,smpl_joint_local_17_z,smpl_joint_local_18_x,smpl_joint_local_18_y,smpl_joint_local_18_z,smpl_joint_local_19_x,smpl_joint_local_19_y,smpl_joint_local_19_z,smpl_joint_local_20_x,smpl_joint_local_20_y,smpl_joint_local_20_z,smpl_joint_local_21_x,smpl_joint_local_21_y,smpl_joint_local_21_z,smpl_joint_local_22_x,smpl_joint_local_22_y,smpl_joint_local_22_z,smpl_joint_local_23_x,smpl_joint_local_23_y,smpl_joint_local_23_z
0.350772560,-0.017717391,0.016927458,0.324771404,0.040471971,-0.075835958,0.329522163,-0.080984771,-0.086980470,0.323155016,-0.020480037,0.126818001,0.345847845,0.120365620,-0.449609369,0.350797236,-0.128849417,-0.448661327,0.326148242,-0.013976812,0.258948803,0.307678550,0.106020063,-0.854205728,0.331178337,-0.114571542,-0.859457672,0.344185561,-0.023939818,0.315882981,0.410998672,0.165656388,-0.927284122,0.434304208,-0.174372494,-0.929243922,0.323396832,-0.034631848,0.482859313,0.341368049,0.023355097,0.400573194,0.337210208,-0.070812672,0.401449472,0.249794215,-0.023385391,0.628616273,0.335537702,0.133593440,0.475426078,0.324972987,-0.167575940,0.464968175,0.264357269,0.390155762,0.501802087,0.273072809,-0.434842020,0.502772212,0.306871951,0.631238341,0.565943003,0.276269972,-0.682240009,0.537027359,0.368007332,0.710495114,0.535057068,0.329254508,-0.767647624,0.509840846
0.350772560,-0.017717391,0.016927458,0.324771404,0.040471971,-0.075835958,0.329522163,-0.080984771,-0.086980470,0.323155016,-0.020480037,0.126818001,0.345690936,0.120611131,-0.449565649,0.350797236,-0.128849417,-0.448661327,0.326148242,-0.013976812,0.258948803,0.307472080,0.106458724,-0.854164064,0.331178337,-0.114571542,-0.859457672,0.344185561,-0.023939818,0.315882981,0.410853803,0.166109532,-0.927143455,0.434555620,-0.174332857,-0.928905070,0.323396832,-0.034631848,0.482859313,0.341368049,0.023355097,0.400573194,0.337210208,-0.070812672,0.401449472,0.250526041,-0.022953168,0.628949642,0.335388035,0.133524239,0.475516140,0.324972987,-0.167575940,0.464968175,0.263993204,0.390015215,0.502005935,0.273072809,-0.434842020,0.502772212,0.306549311,0.631110668,0.566070914,0.276269972,-0.682240009,0.537027359,0.367588341,0.710363686,0.534985840,0.329254508,-0.767647624,0.509840846
0.350777000,-0.017764032,0.016786609,0.324775785,0.040425271,-0.075976819,0.329526633,-0.081031442,-0.087121330,0.323159397,-0.020526767,0.126677141,0.345676094,0.120680988,-0.449682623,0.350795299,-0.128777429,-0.448818237,0.326182604,-0.014181048,0.258814931,0.307310581,0.106601477,-0.854269862,0.330783039,-0.114279285,-0.859587967,0.344245195,-0.024196744,0.315731853,0.410673141,0.166232556,-0.927292407,0.434213310,-0.174027383,-0.928967893,0.323492408,-0.034960210,0.482708067,0.341472775,0.023058027,0.400445998,0.337267160,-0.071108073,0.401277065,0.251264602,-0.022954687,0.629090905,0.335469902,0.133170485,0.475470304,0.325012267,-0.167962864,0.464652747,0.263975710,0.389616549,0.502125800,0.273248345,-0.435269386,0.502357543,0.306730628,0.630678773,0.566183448,0.276412070,-0.682670116,0.536595762,0.367703557,0.709910631,0.534914970,0.329326808,-0.768135190,0.509453535
0.350777000,-0.017764032,0.016786609,0.324775785,0.040425271,-0.075976819,0.329526633,-0.081031442,-0.087121330,0.323159397,-0.020526767,0.126677141,0.345676094,0.120680988,-0.449682623,0.350795299,-0.128777429,-0.448818237,0.326182604,-0.014181048,0.258814931,0.307310581,0.106601477,-0.854269862,0.330783039,-0.114279285,-0.859587967,0.344245195,-0.024196744,0.315731853,0.410673141,0.166232556,-0.927292407,0.434213310,-0.174027383,-0.928967893,0.323492408,-0.034960210,0.482708067,0.341472775,0.023058027,0.400445998,0.337267160,-0.071108073,0.401277065,0.251264602,-0.022954687,0.629090905,0.335469902,0.133170485,0.475470304,0.325087965,-0.168031543,0.464562207,0.263975710,0.389616549,0.502125800,0.273468494,-0.435399950,0.502025843,0.307085365,0.630620718,0.566164315,0.276765406,-0.682833016,0.536016822,0.368130177,0.709778905,0.534849405,0.329639733,-0.768314898,0.508849025
0.350786179,-0.017772198,0.016583681,0.324785024,0.040417105,-0.076179728,0.329535872,-0.081039578,-0.087324254,0.323168635,-0.020534903,0.126474231,0.345637172,0.120539904,-0.449916720,0.350788176,-0.128936231,-0.449002206,0.326208562,-0.014222115,0.258613199,0.307184815,0.106341511,-0.854491472,0.330622971,-0.114581838,-0.859769404,0.344289720,-0.024269700,0.315518618,0.410529077,0.165907592,-0.927592993,0.433956325,-0.174341708,-0.929283500,0.323561132,-0.035084784,0.482494503,0.341548651,0.022956073,0.400249928,0.337309122,-0.071208805,0.401048392,0.251478583,-0.023048803,0.628946483,0.335642457,0.133096874,0.475240350,0.325114489,-0.168166906,0.464277565,0.264123023,0.389539182,0.501865268,0.273535073,-0.435531676,0.501821697,0.307413787,0.630479574,0.566020787,0.276839435,-0.682946324,0.535945654,0.368657500,0.709462404,0.534651220,0.329654217,-0.768497050,0.508878767
0.350786179,-0.017772198,0.016583681,0.324785024,0.040417105,-0.076179728,0.329535872,-0.081039578,-0.087324254,0.323168635,-0.020534903,0.126474231,0.345637172,0.120539904,-0.449916720,0.350788176,-0.128936231,-0.449002206,0.326208562,-0.014222115,0.258613199,0.307184815,0.106341511,-0.854491472,0.330622971,-0.114581838,-0.859769404,0.344289720,-0.024269700,0.315518618,0.410529077,0.165907592,-0.927592993,0.433925450,-0.174239546,-0.929416835,0.323561132,-0.035084784,0.482494503,0.341548651,0.022956073,0.400249928,0.337309122,-0.071208805,0.401048392,0.251478583,-0.023048803,0.628946483,0.335642457,0.133096874,0.475240350,0.325114489,-0.168166906,0.464277565,0.264123023,0.389539182,0.501865268,0.273535073,-0.435531676,0.501821697,0.307413787,0.630479574,0.566020787,0.276839435,-0.682946324,0.535945654,0.368878573,0.709247231,0.534542859,0.329613864,-0.768542409,0.508944333
0.350794643,-0.017902642,0.016262371,0.324793518,0.040286690,-0.076501064,0.329544276,-0.081170052,-0.087645575,0.323177040,-0.020665348,0.126152918,0.345201671,0.120074421,-0.450334281,0.350520313,-0.129407674,-0.449294329,0.326213092,-0.014319241,0.258290380,0.306362808,0.105469167,-0.854857683,0.329922974,-0.115400434,-0.860052168,0.344331801,-0.024345934,0.315187544,0.409717083,0.164927125,-0.928033113,0.433215678,-0.175312519,-0.929495513,0.323535234,-0.035077304,0.482160419,0.341572791,0.022919863,0.399895936,0.337303370,-0.071243286,0.400736302,0.251535296,-0.022989213,0.628648698,0.335780144,0.133096933,0.474841952,0.325057775,-0.168161660,0.464016438,0.264438927,0.389609039,0.501271784,0.273569673,-0.435523242,0.501708448,0.307880908,0.630531311,0.565393507,0.277018070,-0.682912946,0.535998404,0.369357467,0.709179401,0.533641100,0.329841435,-0.768499434,0.509061337
0.350797325,-0.018028855,0.016062828,0.324796140,0.040160418,-0.076700598,0.329546958,-0.081296295,-0.087845117,0.323179752,-0.020791531,0.125953376,0.344971865,0.119742930,-0.450590134,0.350320756,-0.129825041,-0.449466586,0.326259941,-0.014444947,0.258089781,0.305920690,0.104878932,-0.855083704,0.329372883,-0.116052866,-0.860214651,0.344416738,-0.024446487,0.314979225,0.409244865,0.164276898,-0.928350270,0.432617545,-0.176124096,-0.929591894,0.323632658,-0.035093069,0.481959075,0.341684639,0.022859246,0.399666190,0.337378532,-0.071301788,0.400550216,0.251732528,-0.022961900,0.628492832,0.335994154,0.133053809,0.474594355,0.325154662,-0.168186262,0.463886529,0.264889807,0.389648736,0.500857353,0.273810595,-0.435562015,0.501674592,0.308477402,0.630606532,0.564746559,0.277369559,-0.682942033,0.536023021,0.369923741,0.709120452,0.532606125,0.330214679,-0.768530846,0.509136200
0.350797325,-0.018028855,0.016062828,0.324796140,0.040160418,-0.076700598,0.329546958,-0.081296295,-0.087845117,0.323179752,-0.020791531,0.125953376,0.344971865,0.119742930,-0.450590134,0.350320756,-0.129825041,-0.449466586,0.326259941,-0.014444947,0.258089781,0.305920690,0.104878932,-0.855083704,0.329372883,-0.116052866,-0.860214651,0.344416738,-0.024446487,0.314979225,0.409244865,0.164276898,-0.928350270,0.432566971,-0.176019758,-0.929757118,0.323632658,-0.035093069,0.481959075,0.341684639,0.022859246,0.399666190,0.337378532,-0.071301788,0.400550216,0.251732528,-0.022961900,0.628492832,0.335994154,0.133053809,0.474594355,0.325154662,-0.168186262,0.463886529,0.264889807,0.389648736,0.500857353,0.273810595,-0.435562015,0.501674592,0.308477402,0.630606532,0.564746559,0.277369559,-0.682942033,0.536023021,0.369937658,0.709003687,0.532348871,0.330214679,-0.768530846,0.509136200
0.350809991,-0.017944425,0.015880829,0.324808806,0.040244848,-0.076882586,0.329559624,-0.081211805,-0.088027105,0.323192358,-0.020707160,0.125771374,0.345044404,0.120058894,-0.450719476,0.350328118,-0.129503012,-0.449680686,0.326281518,-0.014475614,0.257913053,0.306009412,0.105414242,-0.855222583,0.329411209,-0.115574926,-0.860425055,0.344445199,-0.024567038,0.314784378,0.409283042,0.164807856,-0.928563774,0.432610482,-0.175546676,-0.929955661,0.323731959,-0.035450250,0.481757760,0.341743141,0.022619516,0.399538785,0.337447882,-0.071543157,0.400292456,0.251723289,-0.023811057,0.628278136,0.336072445,0.132786751,0.474508494,0.325282484,-0.168532059,0.463479966,0.264981866,0.389364451,0.500976920,0.274062097,-0.435987353,0.500870526,0.308739096,0.630264997,0.564965606,0.277587950,-0.683385074,0.535094976,0.370088190,0.708785295,0.532655180,0.330483019,-0.768954873,0.508246422
