root_ori6_0,root_ori6_1,root_ori6_2,root_ori6_3,root_ori6_4,root_ori6_5
0.058972478,0.998233020,-0.998157680,0.059069216,-0.014263625,-0.006460147
0.058972478,0.998233020,-0.998157680,0.059069216,-0.014263625,-0.006460147
0.059096873,0.998224080,-0.998155892,0.059193969,-0.013874770,-0.006692427
0.059096873,0.998224080,-0.998155892,0.059193969,-0.013874770,-0.006692427
0.059142768,0.998224437,-0.998161256,0.059230387,-0.013277113,-0.006306979
0.059142768,0.998224437,-0.998161256,0.059230387,-0.013277113,-0.006306979
0.059561729,0.998205841,-0.998148739,0.059632003,-0.012318596,-0.005415355
0.059949815,0.998185933,-0.998132527,0.060010076,-0.011723493,-0.004858175
0.059949815,0.998185933,-0.998132527,0.060010076,-0.011723493,-0.004858175
0.059705675,0.998199940,-0.998153090,0.059764743,-0.011211139,-0.005009875
0.059705675,0.998199940,-0.998153090,0.059764743,-0.011211139,-0.005009875
0.059942365,0.998185039,-0.998139977,0.060002208,-0.011118015,-0.005134021
0.060150206,0.998172820,-0.998124778,0.060210824,-0.011355735,-0.005073050
0.060150206,0.998172820,-0.998124778,0.060210824,-0.011355735,-0.005073050
0.060186386,0.998167038,-0.998115659,0.060257196,-0.011960203,-0.005651820
0.060186386,0.998167038,-0.998115659,0.060257196,-0.011960203,-0.005651820
0.060102463,0.998170435,-0.998117507,0.060177803,-0.012221683,-0.005892101
0.060688436,0.998135209,-0.998078465,0.060764909,-0.012507780,-0.005827894
0.060688436,0.998135209,-0.998078465,0.060764909,-0.012507780,-0.005827894
0.060960948,0.998118162,-0.998064041,0.061036944,-0.012324846,-0.005884959
0.060960948,0.998118162,-0.998064041,0.061036944,-0.012324846,-0.005884959
0.060728431,0.998131335,-0.998078525,0.060806334,-0.012310339,-0.006058589
0.060526490,0.998146832,-0.998091996,0.060597956,-0.012211598,-0.005565618
0.060526490,0.998146832,-0.998091996,0.060597956,-0.012211598,-0.005565618
0.060219109,0.998165250,-0.998116851,0.060287774,-0.011684660,-0.005616438
0.059513271,0.998206079,-0.998163879,0.059582233,-0.011273921,-0.005883130
0.059513271,0.998206079,-0.998163879,0.059582233,-0.011273921,-0.005883130
0.059294522,0.998220086,-0.998178482,0.059361160,-0.011137523,-0.005748498
0.059294522,0.998220086,-0.998178482,0.059361160,-0.011137523,-0.005748498
0.059290707,0.998216152,-0.998187304,0.059359014,-0.010342126,-0.006429964
0.059290707,0.998216152,-0.998187304,0.059359014,-0.010342126,-0.006429964
0.059400141,0.998207629,-0.998184621,0.059468389,-0.009957461,-0.006708146
0.059808612,0.998186707,-0.998160005,0.059872389,-0.009975993,-0.006220350
0.059808612,0.998186707,-0.998160005,0.059872389,-0.009975993,-0.006220350
0.059112191,0.998224974,-0.998203993,0.059178770,-0.009725606,-0.006703996
0.058714688,0.998248100,-0.998228192,0.058781087,-0.009646645,-0.006750318
0.058714688,0.998248100,-0.998228192,0.058781087,-0.009646645,-0.006750318
0.058690429,0.998250365,-0.998232484,0.058753967,-0.009357871,-0.006671694
0.058690429,0.998250365,-0.998232484,0.058753967,-0.009357871,-0.006671694
0.058779001,0.998247027,-0.998229742,0.058838367,-0.009089086,-0.006410875
0.058779001,0.998247027,-0.998229742,0.058838367,-0.009089086,-0.006410875
0.058821201,0.998246193,-0.998229861,0.058876514,-0.008787241,-0.006178739
0.058791399,0.998246789,-0.998235822,0.058845103,-0.008304716,-0.006376917
0.058791399,0.998246789,-0.998235822,0.058845103,-0.008304716,-0.006376917
0.058932185,0.998237967,-0.998229623,0.058984637,-0.008035266,-0.006460465
0.058932185,0.998237967,-0.998229623,0.058984637,-0.008035266,-0.006460465
0.058946729,0.998238742,-0.998229802,0.058996677,-0.007913603,-0.006239613
0.059152722,0.998228550,-0.998217344,0.059200704,-0.007958514,-0.005939587
0.059152722,0.998228550,-0.998217344,0.059200704,-0.007958514,-0.005939587
0.059624374,0.998200953,-0.998189270,0.059671521,-0.007945278,-0.005837187
0.060104728,0.998171568,-0.998162985,0.060150743,-0.007624842,-0.005963039
0.060104728,0.998171568,-0.998162985,0.060150743,-0.007624842,-0.005963039
0.060052454,0.998174191,-0.998161316,0.060102582,-0.008221071,-0.005996917
0.060052454,0.998174191,-0.998161316,0.060102582,-0.008221071,-0.005996917
0.060032248,0.998175919,-0.998158753,0.060084581,-0.008682727,-0.005899103
0.060364425,0.998157620,-0.998140216,0.060413301,-0.008495478,-0.005618501
0.060364425,0.998157620,-0.998140216,0.060413301,-0.008495478,-0.005618501
0.060897231,0.998125017,-0.998106778,0.060947120,-0.008624219,-0.005646219
0.060897231,0.998125017,-0.998106778,0.060947120,-0.008624219,-0.005646219
0.061257064,0.998102427,-0.998085380,0.061307192,-0.008550863,-0.005732848
0.061257064,0.998102427,-0.998085380,0.061307192,-0.008550863,-0.005732848
0.061549664,0.998084903,-0.998067021,0.061599553,-0.008599731,-0.005659102
0.061634898,0.998079777,-0.998059750,0.061685920,-0.008827194,-0.005632389
0.061634898,0.998079777,-0.998059750,0.061685920,-0.008827194,-0.005632389
0.061887324,0.998063326,-0.998045444,0.061938643,-0.008678496,-0.005773666
0.062402248,0.998031735,-0.998014331,0.062452435,-0.008579430,-0.005711064
0.062402248,0.998031735,-0.998014331,0.062452435,-0.008579430,-0.005711064
0.062713146,0.998014152,-0.998000205,0.062757075,-0.007924177,-0.005418814
0.062713146,0.998014152,-0.998000205,0.062757075,-0.007924177,-0.005418814
0.062665105,0.998017251,-0.998004496,0.062708080,-0.007765244,-0.005427016
0.062439919,0.998029351,-0.998014450,0.062488198,-0.008270445,-0.005718655
0.062439919,0.998029351,-0.998014450,0.062488198,-0.008270445,-0.005718655
0.062769890,0.998007774,-0.997995377,0.062818408,-0.008089834,-0.005886740
0.062769890,0.998007774,-0.997995377,0.062818408,-0.008089834,-0.005886740
0.063301623,0.997973025,-0.997964203,0.063349307,-0.007765713,-0.006060583
0.062705934,0.998012185,-0.998001099,0.062752426,-0.007859294,-0.005818754
0.062705934,0.998012185,-0.998001099,0.062752426,-0.007859294,-0.005818754
0.062839091,0.998004615,-0.997992933,0.062884390,-0.007823559,-0.005683308
0.062839091,0.998004615,-0.997992933,0.062884390,-0.007823559,-0.005683308
0.062985897,0.997995436,-0.997981369,0.063032806,-0.008119639,-0.005650220
0.062985897,0.997995436,-0.997981369,0.063032806,-0.008119639,-0.005650220
0.062947154,0.997997224,-0.997979224,0.062997997,-0.008665457,-0.005729086
0.062840819,0.998003542,-0.997982204,0.062894702,-0.009092642,-0.005764475
0.062840819,0.998003542,-0.997982204,0.062894702,-0.009092642,-0.005764475
0.062436461,0.998030007,-0.998005688,0.062489986,-0.009298586,-0.005582614
0.062436461,0.998030007,-0.998005688,0.062489986,-0.009298586,-0.005582614
0.062113881,0.998045921,-0.998021483,0.062175989,-0.009745318,-0.006207698
0.061672747,0.998073876,-0.998046815,0.061735511,-0.009962431,-0.006119168
0.061672747,0.998073876,-0.998046815,0.061735511,-0.009962431,-0.006119168
0.061504364,0.998086095,-0.998054743,0.061565697,-0.010192164,-0.005814168
0.061504364,0.998086095,-0.998054743,0.061565697,-0.010192164,-0.005814168
